location,time,ShakeIntensity,SewerAndWater,Power,RoadsAndBridges,Medical,Buildings
4,2020-04-08T13:50:00Z,6,25,21,22,7,23
4,2020-04-08T13:55:00Z,6,22,17,18,0,14
4,2020-04-08T14:00:00Z,4,25,18,21,6,20
4,2020-04-08T14:05:00Z,6,9,6,5,0,4
4,2020-04-08T14:10:00Z,6,20,16,19,0,14
4,2020-04-08T14:15:00Z,6,30,21,24,0,13
4,2020-04-08T14:20:00Z,6,16,11,13,0,8
4,2020-04-08T14:25:00Z,6,16,13,13,0,9
4,2020-04-08T14:30:00Z,6,20,19,14,0,9
4,2020-04-08T14:35:00Z,6,8,7,9,0,6
4,2020-04-08T14:40:00Z,7,2,4,3,0,3
4,2020-04-08T14:45:00Z,3,6,6,6,0,5
4,2020-04-08T14:50:00Z,6,22,18,20,0,13
4,2020-04-08T14:55:00Z,6,8,5,5,0,6
4,2020-04-08T15:00:00Z,6,9,11,8,0,8
4,2020-04-08T15:05:00Z,1,8,5,5,0,4
4,2020-04-08T15:10:00Z,6,20,17,17,0,13
4,2020-04-08T15:20:00Z,6,20,18,12,0,11
4,2020-04-08T15:30:00Z,6,4,3,4,0,2
4,2020-04-08T15:40:00Z,7,19,14,12,0,11
4,2020-04-08T15:45:00Z,0,16,11,5,0,10
4,2020-04-08T15:50:00Z,7,11,8,8,0,7
4,2020-04-08T15:55:00Z,7,12,4,3,0,1
4,2020-04-08T16:00:00Z,6,33,24,21,0,19
4,2020-04-08T16:10:00Z,0,4,7,3,0,1
4,2020-04-08T16:15:00Z,7,11,7,8,0,5
4,2020-04-08T16:20:00Z,6,7,7,7,0,4
4,2020-04-08T16:25:00Z,5,3,3,3,0,2
4,2020-04-08T16:35:00Z,1,11,14,5,0,13
4,2020-04-08T16:40:00Z,0,5,4,5,0,5
4,2020-04-08T16:45:00Z,1,6,5,5,0,4
4,2020-04-08T16:50:00Z,6,14,6,5,0,9
4,2020-04-08T16:55:00Z,6,17,20,21,0,14
4,2020-04-08T17:00:00Z,6,5,5,4,0,2
4,2020-04-08T17:05:00Z,6,5,3,4,0,1
4,2020-04-08T17:10:00Z,0,10,1,3,0,10
4,2020-04-08T17:20:00Z,6,3,2,3,0,2
4,2020-04-08T17:30:00Z,6,11,9,8,0,5
4,2020-04-08T17:35:00Z,0,4,8,2,0,1
4,2020-04-08T17:50:00Z,6,4,3,4,0,2
4,2020-04-08T18:15:00Z,3,7,6,6,0,4
4,2020-04-08T18:20:00Z,7,8,6,7,0,4
4,2020-04-08T18:35:00Z,6,4,3,3,0,2
4,2020-04-08T18:45:00Z,0,5,3,5,0,7
4,2020-04-08T19:10:00Z,3,6,5,5,0,4
4,2020-04-08T19:30:00Z,0,6,7,10,0,6
4,2020-04-08T19:45:00Z,1,8,10,5,0,6
4,2020-04-08T21:20:00Z,0,2,5,2,0,0
4,2020-04-08T22:05:00Z,0,5,4,3,0,9
4,2020-04-08T22:40:00Z,0,2,2,9,0,10
4,2020-04-08T23:25:00Z,0,10,1,6,0,5
4,2020-04-08T23:30:00Z,0,6,2,7,7,1
5,2020-04-08T00:00:00Z,0,7,7,0,2,10
5,2020-04-08T00:05:00Z,0,8,4,7,3,10
5,2020-04-08T00:10:00Z,0,6,4,3,10,7
5,2020-04-08T00:20:00Z,0,10,6,3,9,1
5,2020-04-08T00:25:00Z,0,9,2,6,6,6
5,2020-04-08T00:30:00Z,0,6,4,1,10,8
5,2020-04-08T01:45:00Z,1,9,2,7,0,9
5,2020-04-08T02:05:00Z,0,6,2,4,10,4
5,2020-04-08T02:20:00Z,0,0,4,1,1,6
5,2020-04-08T02:30:00Z,0,3,1,0,8,9
5,2020-04-08T02:55:00Z,0,9,10,2,10,2
5,2020-04-08T03:10:00Z,0,7,10,1,6,7
5,2020-04-08T03:50:00Z,0,0,10,9,5,2
5,2020-04-08T04:05:00Z,0,0,6,3,10,4
5,2020-04-08T04:10:00Z,0,9,4,10,5,10
5,2020-04-08T04:15:00Z,0,2,1,10,3,10
5,2020-04-08T04:20:00Z,0,4,4,3,5,8
5,2020-04-08T04:25:00Z,0,10,3,2,10,9
5,2020-04-08T04:50:00Z,0,5,10,10,3,5
5,2020-04-08T05:10:00Z,0,12,15,17,18,9
5,2020-04-08T05:20:00Z,0,6,7,2,9,7
5,2020-04-08T05:30:00Z,0,0,0,2,6,1
5,2020-04-08T05:45:00Z,0,1,5,9,5,4
5,2020-04-08T06:25:00Z,0,13,11,13,11,9
5,2020-04-08T06:30:00Z,0,2,9,4,4,5
5,2020-04-08T06:40:00Z,0,8,8,2,9,0
5,2020-04-08T07:50:00Z,0,1,10,6,7,4
5,2020-04-08T08:00:00Z,0,1,9,1,6,0
5,2020-04-08T08:10:00Z,0,10,4,2,6,10
5,2020-04-08T08:20:00Z,0,2,7,6,7,2
5,2020-04-08T08:30:00Z,0,1,0,6,3,7
5,2020-04-08T08:35:00Z,1,19,29,26,13,23
5,2020-04-08T08:40:00Z,2,104,153,94,30,77
5,2020-04-08T08:45:00Z,2,114,172,117,24,85
5,2020-04-08T08:50:00Z,2,93,148,99,24,70
5,2020-04-08T08:55:00Z,2,119,172,112,33,95
5,2020-04-08T09:00:00Z,2,138,222,148,31,114
5,2020-04-08T09:05:00Z,2,118,172,107,25,84
5,2020-04-08T09:10:00Z,2,130,213,144,31,111
5,2020-04-08T09:15:00Z,2,121,173,125,33,90
5,2020-04-08T09:20:00Z,3,110,172,112,28,96
5,2020-04-08T09:25:00Z,3,141,218,148,45,113
5,2020-04-08T09:30:00Z,2,92,153,97,23,82
5,2020-04-08T09:35:00Z,2,112,178,116,33,88
5,2020-04-08T09:40:00Z,2,94,133,92,25,62
5,2020-04-08T09:45:00Z,3,63,96,63,15,47
5,2020-04-08T09:50:00Z,2,85,136,89,29,71
5,2020-04-08T09:55:00Z,2,77,111,81,18,59
5,2020-04-08T10:00:00Z,2,55,84,54,13,45
5,2020-04-08T10:05:00Z,2,53,86,58,16,37
5,2020-04-08T10:10:00Z,2,66,99,67,15,49
5,2020-04-08T10:15:00Z,2,89,140,93,24,64
5,2020-04-08T10:20:00Z,2,90,135,94,25,70
5,2020-04-08T10:25:00Z,2,56,78,50,10,41
5,2020-04-08T10:30:00Z,2,82,130,90,24,63
5,2020-04-08T10:35:00Z,2,72,109,73,20,53
5,2020-04-08T10:40:00Z,2,83,122,82,18,52
5,2020-04-08T10:45:00Z,2,52,82,47,16,40
5,2020-04-08T10:50:00Z,2,61,86,65,21,42
5,2020-04-08T10:55:00Z,2,63,94,63,18,53
5,2020-04-08T11:00:00Z,2,85,122,80,21,64
5,2020-04-08T11:05:00Z,2,68,99,67,29,54
5,2020-04-08T11:10:00Z,3,88,146,85,31,66
5,2020-04-08T11:15:00Z,2,43,61,43,10,35
5,2020-04-08T11:20:00Z,2,71,108,73,16,54
5,2020-04-08T11:25:00Z,1,43,64,41,11,28
5,2020-04-08T11:30:00Z,2,46,65,45,15,34
5,2020-04-08T11:35:00Z,2,20,32,20,5,16
5,2020-04-08T11:40:00Z,2,42,61,37,7,29
5,2020-04-08T11:45:00Z,2,42,65,47,11,37
5,2020-04-08T11:50:00Z,2,45,74,47,10,35
5,2020-04-08T11:55:00Z,2,30,49,36,6,25
5,2020-04-08T12:00:00Z,2,55,79,52,11,36
5,2020-04-08T12:05:00Z,1,7,12,8,3,7
5,2020-04-08T12:10:00Z,3,29,42,29,10,24
5,2020-04-08T12:15:00Z,2,33,48,42,17,32
5,2020-04-08T12:20:00Z,2,37,55,36,6,24
5,2020-04-08T12:25:00Z,1,20,24,23,7,17
5,2020-04-08T12:30:00Z,2,17,33,21,6,16
5,2020-04-08T12:35:00Z,1,18,23,16,5,13
5,2020-04-08T12:40:00Z,2,15,22,16,2,12
5,2020-04-08T12:45:00Z,1,3,6,3,1,3
5,2020-04-08T12:50:00Z,1,12,18,10,2,9
5,2020-04-08T12:55:00Z,1,7,13,8,2,5
5,2020-04-08T13:00:00Z,2,20,33,22,5,10
5,2020-04-08T13:05:00Z,1,21,29,22,5,15
5,2020-04-08T13:10:00Z,1,41,39,28,23,30
5,2020-04-08T13:15:00Z,0,5,6,4,0,3
5,2020-04-08T13:20:00Z,1,8,12,8,4,3
5,2020-04-08T13:25:00Z,1,14,18,12,4,10
5,2020-04-08T13:30:00Z,0,11,14,5,8,14
5,2020-04-08T13:35:00Z,3,13,33,25,9,20
5,2020-04-08T13:40:00Z,1,19,24,16,3,9
5,2020-04-08T13:45:00Z,0,5,5,4,1,2
5,2020-04-08T13:50:00Z,0,4,6,5,1,1
5,2020-04-08T13:55:00Z,1,5,7,5,1,2
5,2020-04-08T14:00:00Z,1,4,6,4,1,3
5,2020-04-08T14:05:00Z,-0,5,5,3,0,4
5,2020-04-08T14:10:00Z,0,3,5,3,1,3
5,2020-04-08T14:15:00Z,0,6,10,7,8,3
5,2020-04-08T14:30:00Z,0,7,13,8,2,6
5,2020-04-08T14:35:00Z,0,9,15,8,12,9
5,2020-04-08T14:40:00Z,0,5,7,3,1,3
5,2020-04-08T14:50:00Z,0,8,3,10,4,5
5,2020-04-08T14:55:00Z,2,10,14,19,9,10
5,2020-04-08T15:00:00Z,1,11,13,8,1,6
5,2020-04-08T15:05:00Z,-0,4,7,4,1,3
5,2020-04-08T15:10:00Z,-0,9,11,7,2,6
5,2020-04-08T15:15:00Z,0,3,5,4,1,1
5,2020-04-08T15:30:00Z,1,5,5,4,2,3
5,2020-04-08T15:40:00Z,0,8,10,7,9,2
5,2020-04-08T15:45:00Z,0,2,7,5,3,3
5,2020-04-08T15:50:00Z,0,8,0,10,10,5
5,2020-04-08T15:55:00Z,0,6,6,12,11,18
5,2020-04-08T16:00:00Z,0,5,11,9,9,6
5,2020-04-08T16:05:00Z,0,4,6,4,1,2
5,2020-04-08T16:10:00Z,-0,4,5,4,2,3
5,2020-04-08T16:20:00Z,0,3,10,8,1,7
5,2020-04-08T16:35:00Z,0,3,6,4,1,2
5,2020-04-08T17:05:00Z,0,9,10,18,16,7
5,2020-04-08T17:10:00Z,0,2,9,8,3,2
5,2020-04-08T17:15:00Z,-0,3,5,4,0,4
5,2020-04-08T17:25:00Z,0,8,14,6,5,13
5,2020-04-08T17:30:00Z,0,2,0,4,5,3
5,2020-04-08T18:00:00Z,0,11,6,7,4,20
5,2020-04-08T18:05:00Z,0,5,2,9,5,10
5,2020-04-08T18:10:00Z,0,3,4,3,8,6
5,2020-04-08T19:05:00Z,1,5,7,4,0,10
5,2020-04-08T19:20:00Z,1,7,3,0,0,6
5,2020-04-08T19:30:00Z,0,2,8,10,4,1
5,2020-04-08T19:40:00Z,0,4,5,4,0,3
5,2020-04-08T19:45:00Z,0,1,7,5,1,9
5,2020-04-08T20:05:00Z,0,9,10,1,2,8
5,2020-04-08T20:25:00Z,0,15,7,10,4,5
5,2020-04-08T20:30:00Z,0,7,16,12,4,14
5,2020-04-08T22:00:00Z,0,10,5,1,7,10
5,2020-04-08T22:10:00Z,0,10,1,2,10,9
5,2020-04-08T22:15:00Z,0,9,3,2,4,6
5,2020-04-08T22:45:00Z,0,6,3,2,9,2
5,2020-04-08T23:20:00Z,0,7,8,0,2,5
6,2020-04-08T00:10:00Z,1,12,12,11,18,10
6,2020-04-08T00:20:00Z,0,2,11,2,12,15
6,2020-04-08T00:30:00Z,0,7,3,4,10,10
6,2020-04-08T00:45:00Z,0,12,30,28,32,27
6,2020-04-08T01:00:00Z,0,4,10,6,5,8
6,2020-04-08T01:15:00Z,0,10,1,1,5,9
6,2020-04-08T01:30:00Z,0,10,6,2,10,0
6,2020-04-08T01:35:00Z,0,10,2,9,4,4
6,2020-04-08T01:45:00Z,0,16,13,12,10,14
6,2020-04-08T02:00:00Z,0,6,12,17,12,13
6,2020-04-08T02:10:00Z,0,2,9,1,3,1
6,2020-04-08T02:20:00Z,0,11,20,13,13,2
6,2020-04-08T02:25:00Z,1,0,6,6,9,7
6,2020-04-08T02:35:00Z,0,16,21,14,10,18
6,2020-04-08T02:40:00Z,0,6,9,14,5,3
6,2020-04-08T02:55:00Z,0,3,0,1,6,1
6,2020-04-08T03:00:00Z,0,1,0,10,7,1
6,2020-04-08T03:05:00Z,0,0,10,0,3,10
6,2020-04-08T03:10:00Z,1,1,10,7,6,3
6,2020-04-08T03:15:00Z,1,5,10,10,10,1
6,2020-04-08T03:30:00Z,1,8,10,8,4,2
6,2020-04-08T03:35:00Z,0,9,10,3,0,7
6,2020-04-08T03:40:00Z,0,25,6,12,10,22
6,2020-04-08T03:45:00Z,0,10,17,20,16,4
6,2020-04-08T03:50:00Z,0,7,18,8,5,7
6,2020-04-08T03:55:00Z,0,5,4,3,5,6
6,2020-04-08T04:00:00Z,0,3,10,19,19,12
6,2020-04-08T04:15:00Z,0,8,18,10,25,17
6,2020-04-08T04:20:00Z,0,6,15,9,1,14
6,2020-04-08T04:30:00Z,0,12,4,18,15,10
6,2020-04-08T04:45:00Z,0,10,10,7,10,8
6,2020-04-08T04:50:00Z,0,3,6,6,0,2
6,2020-04-08T04:55:00Z,0,10,6,10,10,9
6,2020-04-08T05:00:00Z,0,3,21,24,28,16
6,2020-04-08T05:10:00Z,0,4,9,3,5,10
6,2020-04-08T05:35:00Z,0,8,10,6,3,6
6,2020-04-08T05:45:00Z,0,10,10,4,1,1
6,2020-04-08T05:50:00Z,0,5,8,8,15,14
6,2020-04-08T05:55:00Z,0,7,5,4,7,10
6,2020-04-08T06:05:00Z,1,8,10,7,10,0
6,2020-04-08T06:15:00Z,0,0,7,10,6,7
6,2020-04-08T06:25:00Z,0,10,8,2,10,10
6,2020-04-08T06:30:00Z,0,2,0,8,4,1
6,2020-04-08T06:45:00Z,0,0,9,1,9,0
6,2020-04-08T06:50:00Z,0,16,18,15,16,14
6,2020-04-08T07:00:00Z,0,21,15,21,9,10
6,2020-04-08T07:10:00Z,0,2,9,4,7,9
6,2020-04-08T07:15:00Z,0,1,10,10,9,5
6,2020-04-08T07:20:00Z,0,4,9,4,4,8
6,2020-04-08T07:25:00Z,0,4,4,8,6,0
6,2020-04-08T07:55:00Z,0,2,2,1,10,10
6,2020-04-08T08:10:00Z,0,9,0,9,5,4
6,2020-04-08T08:20:00Z,0,9,3,10,4,4
6,2020-04-08T08:25:00Z,0,7,3,7,0,10
6,2020-04-08T08:30:00Z,0,9,2,0,10,0
6,2020-04-08T08:35:00Z,3,28,27,28,28,29
6,2020-04-08T08:40:00Z,3,67,66,59,66,66
6,2020-04-08T08:45:00Z,3,71,66,76,69,69
6,2020-04-08T08:50:00Z,4,97,93,91,107,90
6,2020-04-08T08:55:00Z,4,67,75,69,68,69
6,2020-04-08T09:00:00Z,3,85,83,77,83,80
6,2020-04-08T09:05:00Z,4,66,85,75,79,85
6,2020-04-08T09:10:00Z,4,78,77,85,69,65
6,2020-04-08T09:15:00Z,3,52,40,59,57,47
6,2020-04-08T09:20:00Z,3,58,62,59,70,64
6,2020-04-08T09:25:00Z,3,65,53,69,72,64
6,2020-04-08T09:30:00Z,3,47,48,48,48,43
6,2020-04-08T09:35:00Z,3,63,59,70,55,64
6,2020-04-08T09:40:00Z,4,55,47,49,49,57
6,2020-04-08T09:45:00Z,3,35,32,33,31,47
6,2020-04-08T09:50:00Z,4,38,41,46,47,40
6,2020-04-08T09:55:00Z,3,51,48,40,55,47
6,2020-04-08T10:00:00Z,3,45,37,36,45,41
6,2020-04-08T10:05:00Z,3,45,33,39,37,42
6,2020-04-08T10:10:00Z,3,38,39,35,36,41
6,2020-04-08T10:15:00Z,4,23,19,21,22,22
6,2020-04-08T10:20:00Z,3,38,42,40,37,41
6,2020-04-08T10:25:00Z,3,40,41,45,44,50
6,2020-04-08T10:30:00Z,3,70,71,64,57,61
6,2020-04-08T10:35:00Z,3,33,32,43,41,36
6,2020-04-08T10:40:00Z,3,37,36,36,32,36
6,2020-04-08T10:45:00Z,3,34,28,34,38,40
6,2020-04-08T10:50:00Z,3,56,49,51,60,58
6,2020-04-08T10:55:00Z,3,43,45,37,50,51
6,2020-04-08T11:00:00Z,2,39,32,42,35,41
6,2020-04-08T11:05:00Z,3,46,44,42,39,42
6,2020-04-08T11:10:00Z,3,51,49,47,59,53
6,2020-04-08T11:15:00Z,3,26,31,37,35,35
6,2020-04-08T11:20:00Z,4,33,31,38,33,30
6,2020-04-08T11:25:00Z,3,38,35,48,37,51
6,2020-04-08T11:30:00Z,2,22,26,21,23,20
6,2020-04-08T11:35:00Z,2,44,33,33,40,29
6,2020-04-08T11:40:00Z,1,9,11,9,11,9
6,2020-04-08T11:45:00Z,3,25,20,28,22,24
6,2020-04-08T11:50:00Z,3,27,32,22,28,23
6,2020-04-08T11:55:00Z,4,40,41,50,34,42
6,2020-04-08T12:00:00Z,3,28,37,34,32,37
6,2020-04-08T12:05:00Z,3,19,17,19,16,19
6,2020-04-08T12:10:00Z,3,18,16,24,32,22
6,2020-04-08T12:15:00Z,3,25,25,30,20,23
6,2020-04-08T12:20:00Z,2,22,14,18,17,21
6,2020-04-08T12:25:00Z,2,10,9,8,14,11
6,2020-04-08T12:30:00Z,3,25,20,19,19,26
6,2020-04-08T12:35:00Z,3,19,21,22,18,19
6,2020-04-08T12:40:00Z,2,12,9,12,16,13
6,2020-04-08T12:45:00Z,3,18,18,16,16,18
6,2020-04-08T12:50:00Z,3,16,19,11,16,20
6,2020-04-08T12:55:00Z,2,22,20,16,17,19
6,2020-04-08T13:00:00Z,3,5,9,8,5,6
6,2020-04-08T13:05:00Z,2,13,16,14,17,15
6,2020-04-08T13:10:00Z,2,10,7,8,12,12
6,2020-04-08T13:15:00Z,2,18,22,19,19,20
6,2020-04-08T13:20:00Z,2,23,25,26,28,27
6,2020-04-08T13:25:00Z,3,9,8,4,5,6
6,2020-04-08T13:30:00Z,2,4,9,6,6,7
6,2020-04-08T13:35:00Z,0,7,4,6,5,9
6,2020-04-08T13:40:00Z,-0,3,3,3,3,2
6,2020-04-08T13:45:00Z,1,6,8,7,6,5
6,2020-04-08T13:50:00Z,1,21,19,16,20,16
6,2020-04-08T13:55:00Z,3,8,8,7,7,8
6,2020-04-08T14:00:00Z,2,7,5,7,6,5
6,2020-04-08T14:05:00Z,3,4,1,3,4,4
6,2020-04-08T14:10:00Z,1,4,3,4,5,4
6,2020-04-08T14:20:00Z,3,10,22,15,23,19
6,2020-04-08T14:25:00Z,3,7,11,10,13,14
6,2020-04-08T14:30:00Z,1,4,6,4,3,3
6,2020-04-08T14:35:00Z,2,11,11,16,14,15
6,2020-04-08T14:40:00Z,2,3,14,14,12,15
6,2020-04-08T14:45:00Z,1,9,4,12,12,4
6,2020-04-08T14:50:00Z,0,2,3,1,2,2
6,2020-04-08T14:55:00Z,0,3,2,3,2,1
6,2020-04-08T15:00:00Z,3,16,7,15,13,6
6,2020-04-08T15:05:00Z,2,11,20,17,12,18
6,2020-04-08T15:15:00Z,3,8,10,14,10,5
6,2020-04-08T15:20:00Z,1,28,19,24,14,14
6,2020-04-08T15:35:00Z,2,16,13,18,20,18
6,2020-04-08T15:40:00Z,0,7,2,3,1,11
6,2020-04-08T15:50:00Z,0,13,1,7,7,1
6,2020-04-08T15:55:00Z,2,12,8,10,10,9
6,2020-04-08T16:00:00Z,1,9,14,9,8,10
6,2020-04-08T16:05:00Z,1,1,3,1,3,2
6,2020-04-08T16:15:00Z,0,39,12,28,24,30
6,2020-04-08T16:20:00Z,2,16,18,20,7,15
6,2020-04-08T16:25:00Z,0,17,9,14,6,12
6,2020-04-08T16:30:00Z,0,1,0,6,1,8
6,2020-04-08T16:40:00Z,2,2,3,3,1,2
6,2020-04-08T16:45:00Z,0,8,9,0,3,3
6,2020-04-08T16:50:00Z,0,6,3,8,4,9
6,2020-04-08T16:55:00Z,0,9,2,1,2,0
6,2020-04-08T17:00:00Z,0,12,17,16,8,16
6,2020-04-08T17:05:00Z,0,22,22,13,16,4
6,2020-04-08T17:15:00Z,0,13,4,9,10,3
6,2020-04-08T17:20:00Z,1,10,10,6,18,11
6,2020-04-08T17:25:00Z,0,9,0,3,3,2
6,2020-04-08T17:30:00Z,0,0,1,6,8,4
6,2020-04-08T17:35:00Z,0,6,6,7,0,0
6,2020-04-08T17:40:00Z,0,7,15,10,9,11
6,2020-04-08T17:50:00Z,0,5,10,4,4,8
6,2020-04-08T18:05:00Z,0,2,7,4,4,1
6,2020-04-08T18:10:00Z,0,11,10,10,19,19
6,2020-04-08T18:15:00Z,0,5,0,9,9,6
6,2020-04-08T18:20:00Z,0,10,9,9,9,1
6,2020-04-08T18:25:00Z,0,24,2,21,10,14
6,2020-04-08T18:35:00Z,0,5,1,6,8,8
6,2020-04-08T18:45:00Z,0,12,17,12,21,23
6,2020-04-08T18:50:00Z,0,11,20,14,21,3
6,2020-04-08T18:55:00Z,-0,2,3,1,3,3
6,2020-04-08T19:05:00Z,0,6,6,0,10,6
6,2020-04-08T19:15:00Z,1,22,22,20,18,8
6,2020-04-08T19:20:00Z,0,12,12,28,19,25
6,2020-04-08T19:30:00Z,0,9,1,6,8,3
6,2020-04-08T19:40:00Z,0,20,6,11,17,11
6,2020-04-08T19:45:00Z,0,11,17,5,1,8
6,2020-04-08T19:50:00Z,0,19,15,11,17,23
6,2020-04-08T19:55:00Z,0,4,9,2,1,10
6,2020-04-08T20:25:00Z,0,15,13,11,12,15
6,2020-04-08T20:40:00Z,0,15,18,11,18,20
6,2020-04-08T20:50:00Z,1,12,14,18,10,14
6,2020-04-08T20:55:00Z,0,13,7,17,8,9
6,2020-04-08T21:00:00Z,0,9,11,5,8,13
6,2020-04-08T21:10:00Z,0,15,21,27,20,11
6,2020-04-08T21:15:00Z,0,17,23,20,19,14
6,2020-04-08T21:25:00Z,1,16,19,10,16,9
6,2020-04-08T21:30:00Z,0,5,6,10,2,8
6,2020-04-08T21:35:00Z,0,20,20,17,8,5
6,2020-04-08T21:40:00Z,0,2,17,17,11,18
6,2020-04-08T21:50:00Z,0,9,10,10,2,10
6,2020-04-08T22:00:00Z,0,11,2,5,2,12
6,2020-04-08T22:05:00Z,0,25,6,9,15,22
6,2020-04-08T22:15:00Z,1,11,20,18,17,23
6,2020-04-08T22:40:00Z,0,8,10,14,8,16
6,2020-04-08T22:50:00Z,1,3,7,8,4,1
6,2020-04-08T23:00:00Z,0,0,7,2,10,9
6,2020-04-08T23:05:00Z,0,13,11,16,20,5
6,2020-04-08T23:15:00Z,0,1,7,6,5,6
6,2020-04-08T23:20:00Z,0,1,6,9,10,10
6,2020-04-08T23:25:00Z,1,4,6,10,3,0
6,2020-04-08T23:30:00Z,0,35,19,27,17,15
6,2020-04-08T23:35:00Z,0,10,10,2,3,8
6,2020-04-08T23:45:00Z,0,32,30,36,37,21
6,2020-04-08T23:50:00Z,0,6,7,9,6,0
6,2020-04-08T23:55:00Z,0,3,9,3,9,10
7,2020-04-08T08:35:00Z,6,0,8,6,0,0
7,2020-04-08T08:40:00Z,5,0,18,13,0,0
7,2020-04-08T08:45:00Z,6,0,30,24,0,0
7,2020-04-08T08:50:00Z,6,0,31,23,0,0
7,2020-04-08T08:55:00Z,6,0,27,19,0,0
7,2020-04-08T09:00:00Z,7,0,43,30,0,0
7,2020-04-08T09:05:00Z,6,0,35,25,0,0
7,2020-04-08T09:10:00Z,5,0,24,19,0,7
7,2020-04-08T09:15:00Z,6,0,42,32,0,0
7,2020-04-08T09:20:00Z,6,7,56,40,0,0
7,2020-04-08T09:25:00Z,6,0,104,74,0,0
7,2020-04-08T09:30:00Z,6,10,46,36,0,8
7,2020-04-08T09:35:00Z,6,0,37,30,0,0
7,2020-04-08T09:40:00Z,6,0,17,14,0,0
7,2020-04-08T09:45:00Z,6,0,45,38,0,0
7,2020-04-08T09:50:00Z,6,0,33,22,0,0
7,2020-04-08T09:55:00Z,5,0,7,6,0,0
7,2020-04-08T10:00:00Z,5,0,32,24,0,0
7,2020-04-08T10:05:00Z,6,0,39,31,0,0
7,2020-04-08T10:10:00Z,5,0,23,18,0,0
7,2020-04-08T10:15:00Z,5,0,32,22,0,0
7,2020-04-08T10:20:00Z,6,0,17,11,0,0
7,2020-04-08T10:25:00Z,5,0,7,6,0,0
7,2020-04-08T10:30:00Z,6,0,40,31,0,0
7,2020-04-08T10:35:00Z,5,0,16,10,0,0
7,2020-04-08T10:40:00Z,4,0,8,5,0,0
7,2020-04-08T10:45:00Z,5,0,24,18,0,0
7,2020-04-08T10:50:00Z,4,0,8,5,0,0
7,2020-04-08T10:55:00Z,6,0,23,19,0,0
7,2020-04-08T11:05:00Z,5,0,15,14,0,0
7,2020-04-08T11:10:00Z,6,0,41,27,0,2
7,2020-04-08T11:15:00Z,5,0,24,18,0,0
7,2020-04-08T11:20:00Z,6,0,15,13,0,0
7,2020-04-08T11:25:00Z,5,0,7,5,0,0
7,2020-04-08T11:30:00Z,5,0,24,19,0,0
7,2020-04-08T11:35:00Z,6,0,25,19,0,0
7,2020-04-08T11:40:00Z,6,0,16,14,0,0
7,2020-04-08T11:50:00Z,6,0,26,17,0,0
7,2020-04-08T12:20:00Z,4,0,8,6,0,0
7,2020-04-08T12:25:00Z,1,0,8,8,0,0
7,2020-04-08T12:30:00Z,5,0,9,6,0,0
7,2020-04-08T12:35:00Z,5,0,8,6,0,0
7,2020-04-08T12:50:00Z,5,0,8,6,0,0
7,2020-04-08T13:00:00Z,5,0,7,7,0,0
7,2020-04-08T13:15:00Z,-0,0,8,7,6,0
7,2020-04-08T15:15:00Z,5,0,8,7,0,0
7,2020-04-08T15:35:00Z,3,0,8,6,0,0
7,2020-04-08T16:25:00Z,6,0,8,6,0,0
7,2020-04-08T16:50:00Z,4,0,9,5,0,0
7,2020-04-08T17:45:00Z,0,0,10,10,0,0
8,2020-04-08T00:00:00Z,0,1,5,10,0,10
8,2020-04-08T00:15:00Z,0,5,8,8,0,4
8,2020-04-08T00:20:00Z,0,8,0,7,0,1
8,2020-04-08T00:25:00Z,0,7,3,5,0,2
8,2020-04-08T00:30:00Z,0,5,4,6,0,3
8,2020-04-08T00:40:00Z,0,0,1,10,0,2
8,2020-04-08T00:45:00Z,0,8,6,5,0,3
8,2020-04-08T00:55:00Z,0,10,10,18,0,9
8,2020-04-08T01:00:00Z,0,8,11,17,0,5
8,2020-04-08T01:05:00Z,0,0,11,10,0,14
8,2020-04-08T01:10:00Z,0,19,7,20,0,10
8,2020-04-08T01:15:00Z,0,7,3,3,0,6
8,2020-04-08T01:20:00Z,0,10,3,7,0,1
8,2020-04-08T01:25:00Z,0,6,4,1,0,9
8,2020-04-08T01:30:00Z,0,12,7,12,0,4
8,2020-04-08T01:35:00Z,0,7,3,5,0,2
8,2020-04-08T01:45:00Z,0,7,6,8,0,2
8,2020-04-08T01:55:00Z,0,1,10,10,0,0
8,2020-04-08T02:05:00Z,0,5,2,6,0,2
8,2020-04-08T02:15:00Z,0,3,1,8,0,4
8,2020-04-08T02:30:00Z,0,4,4,7,0,8
8,2020-04-08T02:35:00Z,1,4,2,4,0,1
8,2020-04-08T02:40:00Z,0,3,6,6,0,2
8,2020-04-08T02:50:00Z,0,5,10,5,0,10
8,2020-04-08T03:10:00Z,0,0,5,10,0,10
8,2020-04-08T03:40:00Z,0,14,8,13,0,11
8,2020-04-08T03:45:00Z,0,14,7,9,0,17
8,2020-04-08T03:50:00Z,0,13,13,12,0,12
8,2020-04-08T03:55:00Z,0,3,7,3,0,6
8,2020-04-08T04:10:00Z,0,7,10,10,0,5
8,2020-04-08T04:15:00Z,1,7,5,18,0,7
8,2020-04-08T04:20:00Z,0,6,10,5,0,9
8,2020-04-08T04:50:00Z,0,18,15,20,0,26
8,2020-04-08T05:05:00Z,0,0,1,1,0,7
8,2020-04-08T05:10:00Z,0,1,9,9,3,10
8,2020-04-08T05:15:00Z,1,6,9,7,0,6
8,2020-04-08T05:20:00Z,0,10,0,7,0,1
